,ENS_W
2023-10-16 00:00:00,0.00961282731741314
2023-10-16 01:00:00,0.2861015426831548
2023-10-16 02:00:00,0.7662508076702736
2023-10-16 03:00:00,0.6541499958775107
2023-10-16 04:00:00,0.3234881340590682
2023-10-16 05:00:00,0.05861182073040515
2023-10-16 06:00:00,0.008430062916408777
2023-10-16 07:00:00,0.0021569594575223967
2023-10-16 08:00:00,0.0
2023-10-16 09:00:00,0.0005882615033949852
2023-10-16 10:00:00,0.000979815759026686
2023-10-16 11:00:00,0.00039176094895335286
2023-10-16 12:00:00,0.004899663369051163
2023-10-16 13:00:00,0.1756574298113664
2023-10-16 14:00:00,1.0020356308343907
2023-10-16 15:00:00,3.3926189881121913
2023-10-16 16:00:00,3.5069034912339343
2023-10-16 17:00:00,2.2878653897401793
2023-10-16 18:00:00,1.9875270818258235
2023-10-16 19:00:00,1.0092630648256191
2023-10-16 20:00:00,1.031506681874507
2023-10-16 21:00:00,1.1813447455603332
2023-10-16 22:00:00,1.188127654484152
2023-10-16 23:00:00,0.9195590637077007
2023-10-17 00:00:00,1.2387721602781236
2023-10-17 00:00:00,1.210729918489277
2023-10-17 00:00:00,1.2258243786281984
2023-10-17 00:00:00,1.1977821368393518
2023-10-17 00:00:00,1.2217248336924418
2023-10-17 00:00:00,1.1936825919035952
2023-10-17 00:00:00,1.2087770520425165
2023-10-17 00:00:00,1.1807348102536699
2023-10-17 00:00:00,1.2207511566262694
2023-10-17 00:00:00,1.1927089148374228
2023-10-17 00:00:00,1.2078033749763442
2023-10-17 00:00:00,1.1797611331874975
2023-10-17 00:00:00,1.2037038300405876
2023-10-17 00:00:00,1.175661588251741
2023-10-17 00:00:00,1.1907560483906623
2023-10-17 00:00:00,1.1627138066018157
2023-10-17 00:00:00,1.2186071104599654
2023-10-17 00:00:00,1.1905648686711188
2023-10-17 00:00:00,1.2056593288100401
2023-10-17 00:00:00,1.1776170870211935
2023-10-17 00:00:00,1.2015597838742835
2023-10-17 00:00:00,1.173517542085437
2023-10-17 00:00:00,1.1886120022243583
2023-10-17 00:00:00,1.1605697604355116
2023-10-17 00:00:00,1.2005861068081112
2023-10-17 00:00:00,1.1725438650192643
2023-10-17 00:00:00,1.187638325158186
2023-10-17 00:00:00,1.159596083369339
2023-10-17 00:00:00,1.1835387802224293
2023-10-17 00:00:00,1.1554965384335825
2023-10-17 00:00:00,1.170590998572504
2023-10-17 00:00:00,1.1425487567836572
2023-10-17 01:00:00,1.4758294568111954
2023-10-17 02:00:00,1.2314613608458165
2023-10-17 03:00:00,0.9252264124324647
2023-10-17 04:00:00,0.6275854891418089
2023-10-17 05:00:00,0.22112428879875096
2023-10-17 06:00:00,0.0639192275927071
2023-10-17 06:00:00,0.06137319018991264
2023-10-17 07:00:00,0.020001018169633407
2023-10-17 07:00:00,0.020001018169633407
2023-10-17 08:00:00,0.03882355215020251
2023-10-17 08:00:00,0.03882355215020251
2023-10-17 09:00:00,0.06431439400564372
2023-10-17 09:00:00,0.06431439400564372
2023-10-17 10:00:00,0.17706509082823363
2023-10-17 10:00:00,0.17706509082823363
2023-10-17 11:00:00,0.48085934090886606
2023-10-17 11:00:00,0.48085934090886606
2023-10-17 12:00:00,0.9745484613636826
2023-10-17 12:00:00,0.9745484613636826
2023-10-17 13:00:00,1.6350651273645167
2023-10-17 14:00:00,2.1560040314774196
2023-10-17 15:00:00,2.4711070816496568
2023-10-17 16:00:00,2.2368794387982325
2023-10-17 17:00:00,1.7306206644907798
2023-10-17 18:00:00,1.933853337639348
2023-10-17 19:00:00,1.6686112733006424
2023-10-17 20:00:00,1.567208620993397
2023-10-17 21:00:00,2.217669193411285
2023-10-17 22:00:00,1.6822960040202455
2023-10-17 23:00:00,0.058662115198984455
2023-10-18 00:00:00,0.1808804612478835
2023-10-18 01:00:00,0.46804541394977867
2023-10-18 02:00:00,1.064734568455507
2023-10-18 03:00:00,1.39748660989414
2023-10-18 04:00:00,1.5253267413886615
2023-10-18 05:00:00,1.0998284649823826
2023-10-18 06:00:00,0.7029878768529219
2023-10-18 07:00:00,0.564329768490985
2023-10-18 08:00:00,0.44135340509076254
2023-10-18 09:00:00,0.35696228128879204
2023-10-18 10:00:00,0.3790158261582329
2023-10-18 11:00:00,0.6152299576970621
2023-10-18 12:00:00,1.051969258901137
