,ENS_W
2023-10-16 00:00:00,12.08230060640415
2023-10-16 01:00:00,11.913652917473094
2023-10-16 02:00:00,11.599910827039809
2023-10-16 03:00:00,12.788149640726466
2023-10-16 04:00:00,13.097957995142853
2023-10-16 05:00:00,13.33131198404505
2023-10-16 06:00:00,14.637269889204218
2023-10-16 07:00:00,14.876499525269047
2023-10-16 08:00:00,15.047081102292305
2023-10-16 09:00:00,15.333362698276359
2023-10-16 10:00:00,15.16475285742506
2023-10-16 11:00:00,15.33730324496666
2023-10-16 12:00:00,15.53142990765374
2023-10-16 13:00:00,15.270643970204663
2023-10-16 14:00:00,14.407881859421362
2023-10-16 15:00:00,13.25292857156565
2023-10-16 16:00:00,13.031367203302624
2023-10-16 17:00:00,13.164691509583163
2023-10-16 18:00:00,13.382344418325866
2023-10-16 19:00:00,13.894126290845458
2023-10-16 20:00:00,14.723536528355224
2023-10-16 21:00:00,15.080378340952219
2023-10-16 22:00:00,14.717617368817567
2023-10-16 23:00:00,14.417586013818703
2023-10-17 00:00:00,13.874483340975377
2023-10-17 00:00:00,13.860757628325663
2023-10-17 00:00:00,13.886246545832824
2023-10-17 00:00:00,13.87252083318311
2023-10-17 00:00:00,13.866642199113913
2023-10-17 00:00:00,13.852916486464201
2023-10-17 00:00:00,13.878405403971358
2023-10-17 00:00:00,13.864679691321646
2023-10-17 00:00:00,13.874483340975377
2023-10-17 00:00:00,13.860757628325663
2023-10-17 00:00:00,13.886246545832824
2023-10-17 00:00:00,13.87252083318311
2023-10-17 00:00:00,13.866642199113913
2023-10-17 00:00:00,13.852916486464201
2023-10-17 00:00:00,13.878405403971358
2023-10-17 00:00:00,13.864679691321646
2023-10-17 00:00:00,13.872522997942738
2023-10-17 00:00:00,13.858797285293024
2023-10-17 00:00:00,13.884286202800185
2023-10-17 00:00:00,13.87056049015047
2023-10-17 00:00:00,13.864681856081274
2023-10-17 00:00:00,13.850956143431562
2023-10-17 00:00:00,13.87644506093872
2023-10-17 00:00:00,13.862719348289007
2023-10-17 00:00:00,13.872522997942738
2023-10-17 00:00:00,13.858797285293024
2023-10-17 00:00:00,13.884286202800185
2023-10-17 00:00:00,13.87056049015047
2023-10-17 00:00:00,13.864681856081274
2023-10-17 00:00:00,13.850956143431562
2023-10-17 00:00:00,13.87644506093872
2023-10-17 00:00:00,13.862719348289007
2023-10-17 01:00:00,13.876469496498126
2023-10-17 02:00:00,13.927458844514685
2023-10-17 03:00:00,13.903916988359358
2023-10-17 04:00:00,14.399981174090918
2023-10-17 05:00:00,14.599977977227162
2023-10-17 06:00:00,14.868610332949805
2023-10-17 07:00:00,14.892149268276619
2023-10-17 08:00:00,14.96077559952027
2023-10-17 09:00:00,14.947067385614666
2023-10-17 10:00:00,14.713736899967463
2023-10-17 11:00:00,14.533353772677003
2023-10-17 12:00:00,14.260813460845895
2023-10-17 13:00:00,13.909821622658214
2023-10-17 14:00:00,13.545086474728675
2023-10-17 15:00:00,13.325466030602563
2023-10-17 16:00:00,13.38037091484472
2023-10-17 17:00:00,13.362745283659002
2023-10-17 18:00:00,13.286277709813067
2023-10-17 19:00:00,13.574497578448078
2023-10-17 20:00:00,14.015664271716643
2023-10-17 21:00:00,14.366650032405314
2023-10-17 22:00:00,14.347060140654843
2023-10-17 23:00:00,16.26474133137929
2023-10-17 23:00:00,16.247086190669364
2023-10-18 00:00:00,15.84316725510435
2023-10-18 00:00:00,15.821588749792218
2023-10-18 01:00:00,15.417630142067365
2023-10-18 01:00:00,15.431361918175085
2023-10-18 02:00:00,14.805882647759598
2023-10-18 02:00:00,14.817652741566214
2023-10-18 03:00:00,14.28627664255479
2023-10-18 03:00:00,14.28627664255479
2023-10-18 04:00:00,14.250945316952393
2023-10-18 04:00:00,14.245060270049086
2023-10-18 05:00:00,14.197972395562562
2023-10-18 05:00:00,14.186202301755946
2023-10-18 06:00:00,14.509754001395425
2023-10-18 07:00:00,14.711739634740006
2023-10-18 08:00:00,15.135279066401239
2023-10-18 09:00:00,15.292147973371119
2023-10-18 10:00:00,15.264700552060177
2023-10-18 11:00:00,15.25686450574794
2023-10-18 12:00:00,13.21970007564171
