datetime,Date,Offset,Val
2023-10-08 02:00:00,20231008,2,21.2
2023-10-08 03:00:00,20231008,3,20.1
2023-10-08 04:00:00,20231008,4,19.4
2023-10-08 05:00:00,20231008,5,18.7
2023-10-08 06:00:00,20231008,6,18.3
2023-10-08 07:00:00,20231008,7,18.0
2023-10-08 08:00:00,20231008,8,17.8
2023-10-08 09:00:00,20231008,9,17.7
2023-10-08 10:00:00,20231008,10,17.7
2023-10-08 11:00:00,20231008,11,17.6
2023-10-08 12:00:00,20231008,12,17.3
2023-10-08 13:00:00,20231008,13,17.1
2023-10-08 14:00:00,20231008,14,16.9
2023-10-08 15:00:00,20231008,15,16.7
2023-10-08 16:00:00,20231008,16,18.1
2023-10-08 17:00:00,20231008,17,19.0
2023-10-08 18:00:00,20231008,18,19.8
2023-10-08 19:00:00,20231008,19,20.2
2023-10-08 20:00:00,20231008,20,20.6
2023-10-08 21:00:00,20231008,21,21.0
2023-10-08 22:00:00,20231008,22,21.8
2023-10-08 23:00:00,20231008,23,22.1
2023-10-09 00:00:00,20231008,24,26.4
2023-10-09 01:00:00,20231008,25,24.9
2023-10-09 02:00:00,20231008,26,22.6
2023-10-09 03:00:00,20231008,27,21.5
2023-10-09 04:00:00,20231008,28,20.8
2023-10-09 05:00:00,20231008,29,20.4
2023-10-09 06:00:00,20231008,30,20.0
2023-10-09 07:00:00,20231008,31,19.8
2023-10-09 08:00:00,20231008,32,19.5
2023-10-09 09:00:00,20231008,33,19.1
2023-10-09 10:00:00,20231008,34,18.7
2023-10-09 11:00:00,20231008,35,18.2
2023-10-09 12:00:00,20231008,36,17.9
2023-10-09 13:00:00,20231008,37,18.0
2023-10-09 14:00:00,20231008,38,17.7
2023-10-09 15:00:00,20231008,39,17.3
2023-10-09 16:00:00,20231008,40,18.4
2023-10-09 17:00:00,20231008,41,19.2
2023-10-09 18:00:00,20231008,42,20.3
2023-10-09 19:00:00,20231008,43,21.4
2023-10-09 20:00:00,20231008,44,22.3
2023-10-09 21:00:00,20231008,45,22.2
2023-10-09 22:00:00,20231008,46,22.4
2023-10-09 23:00:00,20231008,47,22.0
2023-10-10 00:00:00,20231008,48,25.0
2023-10-10 01:00:00,20231008,49,22.9
2023-10-10 02:00:00,20231008,50,20.8
2023-10-10 03:00:00,20231008,51,20.0
2023-10-10 04:00:00,20231008,52,19.4
2023-10-10 05:00:00,20231008,53,19.1
2023-10-10 06:00:00,20231008,54,18.8
2023-10-10 07:00:00,20231008,55,18.5
2023-10-10 08:00:00,20231008,56,18.2
2023-10-10 09:00:00,20231008,57,17.6
2023-10-10 10:00:00,20231008,58,17.2
2023-10-10 11:00:00,20231008,59,16.9
2023-10-10 12:00:00,20231008,60,16.7
2023-10-09 01:00:00,20231009,1,20.1
2023-10-09 02:00:00,20231009,2,18.1
2023-10-09 03:00:00,20231009,3,16.9
2023-10-09 04:00:00,20231009,4,15.8
2023-10-09 05:00:00,20231009,5,15.9
2023-10-09 06:00:00,20231009,6,16.6
2023-10-09 07:00:00,20231009,7,16.4
2023-10-09 08:00:00,20231009,8,16.0
2023-10-09 09:00:00,20231009,9,15.7
2023-10-09 10:00:00,20231009,10,15.8
2023-10-09 11:00:00,20231009,11,15.5
2023-10-09 12:00:00,20231009,12,16.1
2023-10-09 13:00:00,20231009,13,16.0
2023-10-09 14:00:00,20231009,14,15.7
2023-10-09 15:00:00,20231009,15,15.2
2023-10-09 16:00:00,20231009,16,14.8
2023-10-09 17:00:00,20231009,17,14.7
2023-10-09 18:00:00,20231009,18,14.3
2023-10-09 19:00:00,20231009,19,14.3
2023-10-09 20:00:00,20231009,20,14.3
